# format: x, y, z, (trackId)+
413, -47.2912, 134.279, 1491
413, -43.0961, 1162.98, 5511
413, -36.6556, 1246.95, 6163
413, -31.0566, 94.656, 395
413, -9.62432, 200.136, 35
413, 22.0061, 396.191, 27
413, 73.3419, 300.83, 544
425, -47.7566, 1157.49, 5511
425, -46.9916, 138.014, 1491
425, -37.5202, 1248.26, 6163
425, -34.9902, 97.6971, 395
425, -13.303, 209.704, 35
425, 21.596, 408.118, 27
425, 74.699, 308.465, 544
437, -51.9814, 1152.9, 5511
437, -48.0155, 141.35, 1491
437, -38.3111, 1250.49, 6163
437, -37.4486, 101.552, 395
437, 22.5, 421.083, 27
437, -16.0041, 216.606, 35
437, 75.8779, 317.412, 544
449, -56.2063, 1147.95, 5511
449, -47.6677, 146.93, 1491
449, -40.3071, 103.255, 395
449, -39.2285, 1252.57, 6163
449, -19.7992, 225.524, 35
449, 23.4605, 430.773, 27
449, 76.9324, 325.087, 544
461, -61.821, 1141.79, 5511
461, -47.5993, 149.154, 1491
461, -42.7766, 106.995, 395
461, -39.8863, 1254.03, 6163
461, -24.1699, 236.961, 35
461, -7.98898, 427.038, 27
461, 20.6704, 445.237, 27
461, 78.5623, 334.456, 544
473, -66.1294, 1137.32, 5511
473, -47.2129, 154.457, 1491
473, -45.8934, 107.913, 395
473, -40.7826, 1256.57, 6163
473, -26.4362, 242.91, 35
473, 20.7275, 449.83, 27
473, 79.9926, 341.53, 544
485, -70.6483, 1132.31, 5511
485, -50.2285, 111.553, 395
485, -46.7534, 157.403, 395
485, -41.0085, 1258.39, 6163
485, -30.5596, 252.145, 35
485, 20.1194, 463.777, 27
485, 80.8888, 349.765, 544
497, -75.4277, 1127.51, 5511
497, -52.7209, 114.091, 395
497, -46.7307, 162.099, 1491
497, -42.1211, 1259.31, 6163
497, -34.5362, 260.566, 35
497, 20.0915, 477.296, 27
497, 81.3298, 359.003, 544
509, -80.7836, 1122.02, 5511
509, -55.9006, 117.385, 395
509, -45.5901, 166.004, 1491
509, -43.7927, 1261.83, 6163
509, -38.4654, 270.025, 35
509, 19.4799, 489.759, 27
509, 83.6366, 370.417, 544
521, -85.4578, 1117.44, 5511
521, -59.3859, 120.917, 395
521, -42.5307, 278.446, 35
521, -44.8697, 169.533, 1491
521, -44.8674, 1263.87, 6163
521, 18.9045, 503.317, 27
521, 84.3205, 378.105, 544
533, -90.7123, 1111.85, 5511
533, -62.8409, 123.157, 395
533, -45.8662, 1265.73, 6163
533, -45.4961, 285.659, 35
533, -44.5501, 174.035, 1491
533, 18.4301, 510.101, 27
533, 85.0488, 386.947, 544
545, -95.9623, 1106.9, 5511
545, -67.4703, 126.309, 395
545, -50.415, 295.909, 35
545, -46.9698, 1268.03, 6163
545, -42.3961, 179.458, 1491
545, 18.0187, 523.35, 27
545, 85.4025, 389.949, 544
557, -102.154, 1100.91, 5511
557, -70.0695, 128.995, 395
557, -54.1635, 303.868, 35
557, -48.4274, 1269.61, 6163
557, -41.0704, 181.912, 1491
557, 17.4758, 534.573, 27
557, 86.7057, 403.708, 544
569, -105.263, 1097.59, 5511
569, -72.8503, 131.297, 395
569, -57.9601, 312.444, 35
569, -49.7952, 1271.98, 6163
569, -39.7827, 185.74, 1491
569, 16.4187, 548.363, 27
569, 87.3272, 410.948, 544
581, -112.759, 1090.72, 5511
581, -77.4371, 136.258, 395
581, -62.4934, 321.537, 35
581, -50.7189, 1273.53, 6163
581, -38.5121, 190.113, 1491
581, 15.6738, 558.16, 27
581, 88.2556, 420.814, 544
593, -117.366, 1086.51, 5511
593, -81.6814, 138.073, 395
593, -67.1251, 329.995, 35
593, -51.9804, 1275.73, 6163
593, -36.8169, 193.731, 1491
593, 15.1893, 570.308, 27
593, 89.3517, 432.229, 544
593, 147.5, 573.421, 1671
605, -123.071, 1081.22, 5511
605, -85.5607, 140.695, 395
605, -71.4423, 339.004, 35
605, -53.0485, 1276.32, 6163
605, -34.6779, 198.363, 1491
605, 14.2907, 581.68, 27
605, 89.7079, 435.427, 544
605, 147.5, 583.11, 1671
617, -128.995, 1075.43, 5511
617, -90.0465, 144.407, 395
617, -75.745, 347.509, 35
617, -54.845, 1279.14, 6163
617, -33.5958, 203.012, 1491
617, 13.6894, 594.842, 27
617, 89.7635, 445.599, 544
617, 152.073, 595.36, 1671
629, -157.393, 283.03, 444
629, -133.958, 1070.89, 5511
629, -94.9952, 146.052, 395
629, -80.7448, 357.42, 35
629, -56.3468, 1280.93, 6163
629, -31.1448, 207.088, 1491
629, 12.7402, 604.755, 27
629, 90.7851, 453.894, 544
629, 155.259, 606.797, 1671
641, -157.192, 287.355, 444
641, -141.316, 1064.31, 5511
641, -99.4388, 149.922, 395
641, -85.268, 365.437, 35
641, -58.1089, 1283.61, 6163
641, -28.7581, 209.908, 1491
641, 11.7701, 615.983, 27
641, 91.234, 462.85, 544
641, 155.804, 619.453, 1671
653, -158.764, 296.178, 444
653, -145.459, 1060.65, 5511
653, -105.85, 153.718, 395
653, -89.8639, 373.861, 35
653, -59.184, 1285, 6163
653, -25.5289, 216.582, 1491
653, 10.5088, 629.356, 27
653, 91.9105, 471.591, 544
653, 156.239, 629.054, 1671
665, -157.686, 299.353, 444
665, -152.195, 1054.54, 5511
665, -107.193, 154.675, 395
665, -94.6052, 382.853, 35
665, -60.6225, 1286.11, 6163
665, -23.527, 220.426, 1491
665, 10.0342, 639.148, 27
665, 91.6503, 481.205, 544
665, 156.858, 642.135, 1671
677, -158.37, 1049.34, 5511
677, -157.864, 303.726, 444
677, -114.264, 157.943, 395
677, -99.6239, 392.16, 35
677, -62.4358, 1289.12, 6163
677, -21.3661, 224.136, 1491
677, 8.85624, 651.804, 27
677, 93.0385, 490.871, 544
677, 157.441, 654.796, 1671
689, -165.427, 1043.91, 5511
689, -155.071, 312.042, 444
689, -118.465, 160.607, 395
689, -104.784, 401.568, 35
689, -64.2973, 1291.14, 6163
689, -18.8248, 227.725, 1491
689, 7.52869, 666.051, 27
689, 93.0118, 497.171, 544
689, 157.475, 662.805, 1671
701, -170.658, 1038.55, 5511
701, -154.481, 316.259, 444
701, -125.225, 166.476, 395
701, -109.656, 409.794, 35
701, -66.0628, 1292.54, 6163
701, -15.1743, 232.564, 1491
701, 6.76682, 672.572, 27
701, 93.2726, 505.329, 544
701, 158.157, 673.378, 1671
713, -177.23, 1033.52, 5511
713, -153.729, 319.453, 444
713, -129.543, 169.21, 395
713, -115.886, 421.01, 35
713, -67.6842, 1295.01, 6163
713, -11.9268, 236.371, 1491
713, 5.32757, 687.593, 27
713, 93.7076, 513.516, 544
713, 158.368, 687.346, 1671
725, -181.592, 1027.74, 5511
725, -151.85, 325.385, 444
725, -133.546, 169.342, 395
725, -119.317, 426.84, 35
725, -69.5408, 1296.46, 6163
725, -8.79467, 239.583, 1491
725, 4.13963, 697.836, 27
725, 93.7425, 520.982, 544
725, 158.948, 693.935, 1671
740, -186.556, 1024.61, 5511
740, -149.574, 332.391, 444
740, -142.597, 174.531, 395
740, -126.91, 439.389, 35
740, -72.2396, 1299.56, 6163
740, -4.14705, 246.517, 1491
740, 2.4703, 713.277, 27
740, 94.4263, 532.474, 544
740, 159.061, 714.335, 1671
758, -192.5, 1016.45, 5511
758, -150.769, 179.793, 395
758, -146.676, 339.579, 444
758, -135.019, 452.775, 35
758, -75.0252, 1302.05, 6163
758, 0.576553, 731.851, 27
758, -0.171928, 251.986, 1491
758, 94.6149, 545.389, 544
758, 158.432, 733.717, 1671
776, -158.563, 182.788, 395
776, -143.135, 466.624, 35
776, -141.779, 352.267, 444
776, -77.4953, 1304.46, 6163
776, -1.66794, 749.365, 27
776, 6.68697, 259.007, 1491
776, 94.9149, 560.639, 544
776, 152.5, 750.699, 1671
776, 158.651, 742.801, 1671
794, -169.522, 189.124, 395
794, -151.963, 480.166, 35
794, -140.423, 354.272, 444
794, -80.988, 1307.55, 6163
794, -3.39714, 761.507, 27
794, 14.0214, 265.789, 1491
794, 94.528, 570.844, 544
794, 158.077, 758.06, 1671
812, -177.912, 192.32, 395
812, -160.675, 494.31, 35
812, -136.429, 363.755, 444
812, -83.9684, 1310.19, 6163
812, -6.16182, 784.382, 27
812, 18.5657, 270.765, 1491
812, 94.6652, 584.203, 544
812, 157.251, 780.964, 1671
830, -187.212, 198.442, 395
830, -170.766, 509.645, 35
830, -132.654, 371.627, 444
830, -87.2972, 1313.27, 6163
830, -8.56983, 800.088, 27
830, 22.2304, 304.882, 1491
830, 27.0344, 278.095, 1491
830, 94.3523, 597.47, 544
830, 156.26, 795.147, 1671
830, 162.5, 809.828, 1671
848, -197.795, 202.192, 395
848, -180.42, 524.749, 35
848, -127.661, 380.413, 444
848, -90.5192, 1316.26, 6163
848, -11.535, 825.576, 27
848, 20.819, 298.858, 1491
848, 30.2091, 286.837, 1491
848, 93.9544, 609.858, 544
848, 155.43, 814.888, 1671
866, -209.601, 207.692, 395
866, -189.321, 537.269, 35
866, -123.246, 387.925, 444
866, -94.6464, 1319.21, 6163
866, -12.6475, 829.161, 27
866, 19.717, 293.119, 1491
866, 41.3814, 291.907, 1491
866, 93.3174, 621.521, 544
866, 154.326, 827.57, 1671
884, -221.357, 212.087, 395
884, -199.43, 551.707, 35
884, -117.489, 396.586, 444
884, -97.9254, 1322.32, 6163
884, -16.4995, 855.915, 27
884, 50.6034, 298.129, 1491
884, 93.1355, 636.529, 544
884, 152.259, 850.255, 1671
902, -226.774, 216.258, 395
902, -208.272, 565.508, 35
902, -112.02, 404.611, 444
902, -102.056, 1325.02, 6163
902, -19.0327, 870.572, 27
902, 60.2991, 305.953, 1491
902, 92.4876, 650.918, 544
902, 151.083, 861.571, 1671
920, -232.5, 220.778, 395
920, -217.9, 579.243, 35
920, -105.299, 1327.85, 6163
920, -107.063, 411.68, 444
920, -22.0573, 889.146, 27
920, 66.4273, 310.879, 1491
920, 91.6721, 659.282, 544
920, 149.54, 881.328, 1671
938, -230.685, 596.164, 35
938, -109.543, 1330.95, 6163
938, -100.123, 421.842, 444
938, -25.0402, 906.906, 27
938, 78.6325, 319.714, 1491
938, 90.6464, 672.619, 544
938, 147.688, 895.143, 1671
956, -238.414, 606.299, 35
956, -113.55, 1333.78, 6163
956, -93.7302, 428.941, 444
956, -28.0169, 922.523, 27
956, 84.3934, 325.473, 1491
956, 89.6992, 688.401, 544
956, 145.243, 915.75, 1671
974, -246.98, 621.128, 35
974, -117.374, 1336.25, 6163
974, -87.7983, 437.267, 444
974, -31.3584, 942.371, 27
974, 89.0168, 700.972, 544
974, 96.8328, 333.893, 1491
974, 143.422, 929.922, 1671
992, -252.5, 630.862, 35
992, -122.025, 1339.71, 6163
992, -81.0243, 445.837, 444
992, -34.4492, 958.517, 27
992, 87.3265, 716.371, 544
992, 108.636, 341.083, 1491
992, 140.408, 953.753, 1671
1010, -126.512, 1342.95, 6163
1010, -73.7517, 454.141, 444
1010, -38.7206, 981.108, 27
1010, 86.7312, 722.829, 544
1010, 112.619, 343.401, 1491
1010, 121.629, 348.771, 1491
1010, 138.646, 964.672, 1671
1028, -130.751, 1345.49, 6163
1028, -65.0227, 463.02, 444
1028, -41.3359, 993.066, 27
1028, 85.1292, 740.362, 544
1028, 128.663, 354.264, 1491
1028, 135.038, 985.358, 1671
1046, -134.937, 1348.19, 6163
1046, -55.6652, 471.87, 444
1046, -44.8098, 1010.36, 27
1046, 84.0023, 750.352, 544
1046, 132.249, 1001.08, 1671
1046, 144.033, 363.42, 1491
1064, -139.921, 1351.08, 6163
1064, -48.0878, 480.712, 444
1064, -49.1685, 1029.92, 27
1064, 82.1545, 766.336, 544
1064, 129.377, 1015.81, 1671
1064, 154.69, 369.413, 1491
1082, -144.8, 1354.47, 6163
1082, -53.2099, 1049.98, 27
1082, -39.6898, 488.463, 444
1082, 80.2409, 775.595, 544
1082, 125.743, 1037.08, 1671
1082, 172.55, 379.297, 1491
1100, -149.484, 1356.66, 6163
