# format: x, y, z, (trackId)+
413, -78.6318, 118.831, 618
413, -69.5438, 279.2, 2551
413, -39.546, 118.552, 558
413, -42.2486, 17.4397, 574
413, 7.02858, 1430.11, 2099
413, 35.7144, 469.773, 39
413, 56.602, 37.8117, 1977
425, -79.3462, 122.024, 618
425, -69.7128, 283.187, 2551
425, -39.7909, 122.095, 558
425, -42.4142, 17.7631, 574
425, -11.3966, 0.54841, 2099
425, 3.80055, 1418.79, 2099
425, 36.389, 491.434, 39
425, 67.5113, 35.5668, 1977
437, -85.8518, 125.463, 618
437, -70.9173, 294.385, 2551
437, -39.5334, 124.107, 558
437, -41.3819, 19.5015, 574
437, -1.79503, 1399.22, 2099
437, 36.6354, 495.199, 39
437, 78.2834, 33.1578, 1977
449, -86.5119, 128.041, 618
449, -71.1621, 301.375, 2551
449, -40.6056, 130.812, 558
449, -40.7461, 20.8508, 574
449, -5.08673, 1386.66, 2099
449, 37.5978, 514.359, 39
449, 93.0464, 30.5241, 1977
461, -90.3443, 131.198, 618
461, -71.7241, 306.95, 2551
461, -40.2636, 132.255, 558
461, -40.2955, 22.2228, 574
461, -8.91883, 1365.56, 2099
461, 38.1746, 523.935, 39
461, 111.135, 27.2694, 1977
473, -93.8982, 135.391, 618
473, -72.7898, 316.404, 2551
473, -40.677, 137.108, 558
473, -38.874, 21.829, 574
473, -11.5376, 1348.22, 2099
473, 39.0005, 542.328, 39
473, 111.879, 26.1324, 1977
485, -96.8019, 140.786, 618
485, -72.9915, 322.229, 2551
485, -41.2675, 138.106, 558
485, -38.4068, 23.444, 574
485, -12.9737, 1330.19, 2099
485, 39.268, 553.267, 39
485, 32.5, 543.54, 39
497, -100.408, 142.311, 618
497, -72.7265, 331.726, 2551
497, -41.3114, 142.736, 558
497, -36.5, 24.7083, 574
497, -13.7463, 1312.19, 2099
497, 39.1438, 571.602, 39
509, -103.949, 145.901, 618
509, -73.5634, 336.599, 2551
509, -41.7238, 145.051, 558
509, -35.6144, 25.577, 574
509, -13.9704, 1298.11, 2099
