# format: x, y, z, (trackId)+
413, -70.1377, 1423.81, 4943
413, -57.7826, 179.842, 115
413, -48.9446, 1138.95, 5454
425, -68.5658, 1423.43, 4943
425, -59.7002, 184.158, 115
425, -53.4506, 1133.18, 5454
437, -66.2139, 1422.94, 4943
437, -58.4738, 1127.37, 5454
437, -61.8703, 188.768, 115
449, -64.479, 195.196, 115
449, -64.0171, 1422.55, 4943
449, -62.1248, 1123.52, 5454
461, -67.0025, 1118.31, 5454
461, -66.5348, 199.438, 115
461, -61.5359, 1422.48, 4943
473, -72.1498, 1112.76, 5454
473, -69.8406, 205.869, 115
473, -59.3439, 1422, 4943
485, -77.362, 1107.68, 5454
485, -71.6208, 211.204, 115
485, -56.9019, 1420.1, 4943
497, -80.2932, 1103.7, 5454
497, -74.9874, 216.52, 115
497, -54.1633, 1419.57, 4943
509, -86.5396, 1098.06, 5454
509, -76.9038, 221.328, 115
509, -51.7629, 1418.68, 4943
521, -91.9729, 1092.87, 5454
521, -79.058, 225.613, 115
521, -49.1129, 1417.49, 4943
533, -82.389, 231.934, 115
533, -46.2201, 1416.93, 4943
545, -85.4872, 236.307, 115
545, -43.4713, 1416.64, 4943
557, -108.421, 1077.15, 5454
557, -88.6137, 242.824, 115
557, -41.213, 1416.54, 4943
569, -113.265, 1073.41, 5454
569, -90.6652, 247.887, 115
569, -38.2, 1416.07, 4943
581, -118.79, 1068.16, 5454
581, -93.0582, 251.65, 115
581, -35.283, 1415.84, 4943
593, -124.926, 1062.97, 5454
593, -96.5429, 257.356, 115
593, -32.0475, 1414, 4943
605, -130.301, 1058.29, 5454
605, -99.0504, 261.832, 115
605, -28.4056, 1413.23, 4943
617, -136.469, 1053.1, 5454
617, -102.895, 268.718, 115
617, -25.7176, 1411.84, 4943
629, -142.724, 1047.72, 5454
629, -104.527, 272.081, 115
629, -22.3229, 1411.69, 4943
641, -148.262, 1043.22, 5454
641, -108.425, 278.661, 115
641, -19.415, 1411.36, 4943
653, -155.262, 1037.59, 5454
653, -111.873, 284.071, 115
653, -15.7246, 1409.64, 4943
665, -162.242, 1032.21, 5454
665, -114.517, 287.342, 115
665, -12.1317, 1410.06, 4943
677, -165.728, 1029, 5454
677, -118.256, 294.624, 115
677, -8.48411, 1408.76, 4943
689, -171.807, 1023.64, 5454
689, -121.168, 299.24, 115
689, -5.2058, 1407.26, 4943
701, -172.5, 1020.64, 5454
701, -124.285, 306.133, 115
701, -1.27821, 1406.64, 4943
713, -127.178, 310.178, 115
713, 1.45756, 1406.2, 4943
725, -130.943, 316.555, 115
725, 6.41916, 1405.75, 4943
740, -134.569, 321.051, 115
740, 10.8153, 1405.28, 4943
758, -140.548, 329.731, 115
758, 17.1611, 1403.49, 4943
776, -144.847, 337.633, 115
776, 23.362, 1402.44, 4943
794, -152.312, 347.84, 115
794, 30.0662, 1401.01, 4943
812, -154.635, 351.776, 115
812, 35.6545, 1400.22, 4943
830, -161.685, 362.61, 115
848, -166.603, 368.787, 115
866, -173.679, 377.686, 115
866, 57.1763, 1395.8, 4943
884, -178.804, 385.335, 115
884, 63.6968, 1395.57, 4943
902, -184.356, 393.736, 115
902, 70.0705, 1394.91, 4943
920, -190.792, 401.821, 115
920, 78.6723, 1394.16, 4943
938, -196.716, 409.718, 115
938, 85.9801, 1392.48, 4943
956, -205.248, 420.583, 115
956, 95.1541, 1390.07, 4943
974, -207.575, 423.6, 115
974, 101.908, 1389.86, 4943
992, -217.074, 435.081, 115
992, 110.006, 1388.89, 4943
1010, -224.262, 444.654, 115
1010, 118.626, 1387.97, 4943
1028, -226.378, 447.376, 115
1028, 129.157, 1386.07, 4943
1046, -235.335, 458.642, 115
1046, 137.56, 1384.37, 4943
1064, -242.868, 466.968, 115
1064, 144.32, 1383.9, 4943
1082, -249.204, 474.218, 115
1082, 154.45, 1383.45, 4943
1100, -256.576, 484.079, 115
1100, 165.877, 1381.18, 4943
1118, -282.65, 807.925, 741
1118, -263.051, 490.869, 115
1118, 172.144, 1380.17, 4943
1136, -292.5, 1131.52, 498
1136, -269.702, 818.533, 741
1136, -270.081, 500.051, 115
1136, 184.326, 1379.18, 4943
1154, -292.94, 1142.33, 498
1154, -276.887, 507.008, 115
1154, -251.041, 835.069, 741
1154, 192.116, 1378.35, 4943
1172, -283.416, 1165.91, 498
1172, -286.022, 516.573, 115
1172, -235.788, 846.772, 741
1172, -229.772, 852.73, 741
1172, 204.14, 1377.43, 4943
1190, -291.789, 523.626, 115
1190, -281.016, 1172.09, 498
1190, -215.781, 863.666, 741
1190, 214.408, 1374.91, 4943
371.771, 182.074, 111.564, 302
333.351, 248.619, 131.463, 302
315.865, 278.906, 880.185, 6763
315.973, 278.718, 854.337, 6844
398.101, 160.469, 114.176, 52
354.968, 235.177, 134.723, 302
325.656, 285.947, 858.049, 6844
323.166, 290.261, 883.322, 6763
410, 163.859, 118.869, 52
353.327, 262.019, 138.804, 302
334.931, 293.883, 868.155, 6763
421.586, 167.791, 122.432, 52
363.365, 268.633, 142.392, 302
344.885, 300.642, 870.335, 6844
337.026, 314.254, 882.147, 6763
338.031, 312.514, 321.412, 1002
335.19, 317.434, 388.15, 1002
335.095, 317.598, 370.66, 1002
421.714, 191.57, 123.336, 302
373.401, 275.251, 147.182, 302
357.17, 303.363, 206.215, 1002
360.488, 297.617, 182.47, 1002
358.354, 301.314, 171.557, 1002
353.571, 309.597, 882.981, 6844
342.626, 328.555, 882.811, 6763
351.384, 313.385, 274.729, 1002
354.132, 308.626, 242.456, 1002
348.442, 318.48, 318.947, 1002
352.988, 310.607, 201.834, 1002
444.805, 175.576, 128.545, 52
383.421, 281.896, 150.259, 302
375.232, 296.079, 98.6091, 1002
371.029, 303.358, 164.927, 1002
366.8, 310.684, 205.789, 1002
363.197, 316.924, 890.173, 6763
353.446, 333.813, 883.466, 6763
456.347, 179.584, 131.87, 52
392.917, 289.448, 153.734, 302
394.322, 287.014, 6.23371, 1002
391.117, 292.565, 39.3472, 1002
387.173, 299.396, 84.5345, 1002
383.487, 305.782, 125.405, 1002
381.272, 309.617, 144.139, 1002
372.328, 325.109, 899.356, 6844
361.272, 344.258, 883.1, 6763
468.174, 183.099, 134.647, 52
402.96, 296.052, 158.242, 302
404.165, 293.966, 8.9535, 1002
401.665, 298.296, 36.4535, 1002
401.665, 298.296, 3.4535, 1002
381.853, 332.612, 906.873, 6844
479.539, 187.414, 137.803, 52
413.319, 302.11, 160.743, 302
391.379, 340.111, 913.6, 6844
491.327, 190.996, 140.883, 52
423.185, 309.022, 165.015, 302
400.752, 347.878, 923.067, 6844
503.493, 193.925, 146.094, 52
433.027, 315.975, 169.221, 302
410.233, 355.456, 930.331, 6844
514.824, 198.299, 148.08, 52
443.007, 322.69, 172.254, 302
419.864, 362.774, 937.273, 6844
526.842, 201.483, 151.511, 52
453.079, 329.245, 177.204, 302
429.313, 370.407, 945.806, 6844
537.614, 206.825, 152.46, 52
463.28, 335.575, 179.316, 302
438.852, 377.886, 953.98, 6844
550.046, 209.292, 157.495, 52
473.082, 342.599, 183.482, 302
448.21, 385.677, 962.591, 6844
562.251, 212.153, 161.549, 52
483.318, 348.868, 187.158, 302
457.94, 392.826, 970.198, 6844
574.041, 215.732, 164.429, 52
493.507, 355.221, 191.739, 302
467.548, 400.183, 977.791, 6844
585.509, 219.869, 166.879, 52
503.568, 361.795, 195.814, 302
477.081, 407.672, 985.501, 6844
597.486, 223.125, 169.986, 52
513.668, 368.301, 199.414, 302
486.741, 414.941, 994.63, 6844
609.478, 226.353, 174.155, 52
523.663, 374.989, 203.17, 302
496.331, 422.33, 1001.94, 6844
621.298, 229.881, 177.777, 52
533.838, 381.366, 206.841, 302
506.155, 429.315, 1008.8, 6844
633.329, 233.042, 181.165, 52
543.995, 387.773, 210.334, 302
515.738, 436.716, 1019.8, 6844
645.074, 236.698, 183.895, 52
554.362, 393.816, 214.153, 302
525.613, 443.611, 1025.73, 6844
657.306, 239.513, 187.645, 52
564.428, 400.382, 217.235, 302
535.448, 450.577, 1032.45, 6844
669.235, 242.85, 191.153, 52
574.644, 406.688, 221.479, 302
545.062, 457.925, 1041.87, 6844
681.079, 246.337, 194.309, 52
584.635, 413.383, 226.059, 302
554.92, 464.85, 1048.93, 6844
693.247, 249.26, 197.188, 52
595.148, 419.173, 230.493, 302
564.743, 471.837, 1058.62, 6844
708.06, 253.604, 200.423, 52
607.877, 427.127, 233.889, 302
576.888, 480.8, 1068.31, 6844
726.364, 257.901, 206.641, 52
623.237, 436.523, 240.181, 302
591.801, 490.971, 1077.11, 6844
745.202, 261.272, 213.169, 52
638.744, 445.662, 245.321, 302
606.627, 501.291, 1091.97, 6844
762.032, 268.122, 215.621, 52
654.095, 455.073, 250.012, 302
621.353, 511.785, 1104.72, 6844
780.786, 271.638, 221.861, 52
669.574, 464.264, 256.436, 302
636.347, 521.814, 1114.03, 6844
798.857, 276.34, 227.051, 52
685.04, 473.476, 262.863, 302
651.394, 531.752, 1125.94, 6844
817.724, 279.661, 232.424, 52
700.531, 482.644, 268.521, 302
666.538, 541.523, 1138.73, 6844
835.833, 284.296, 237.038, 52
715.989, 491.871, 274.074, 302
681.528, 551.558, 1149.8, 6844
853.971, 288.879, 241.754, 52
731.484, 501.033, 278.018, 302
696.755, 561.184, 1162.94, 6844
873.306, 291.39, 247.817, 52
747.232, 509.756, 285.21, 302
711.85, 571.039, 1174.45, 6844
891.247, 296.315, 252.11, 52
762.707, 518.954, 290.428, 302
727, 580.799, 1186.79, 6844
910.349, 299.229, 258.275, 52
778.453, 527.68, 296.243, 302
742.369, 590.179, 1197.07, 6844
928.008, 304.643, 262.021, 52
793.89, 536.942, 302.185, 302
757.807, 599.439, 1210.88, 6844
947.325, 307.185, 268.413, 52
809.669, 545.612, 306.942, 302
773.124, 608.911, 1221.53, 6844
965.595, 311.541, 271.776, 52
825.363, 554.43, 313.365, 302
788.546, 618.198, 1233.01, 6844
984.577, 314.663, 277.66, 52
841.218, 562.967, 318.944, 302
803.925, 627.561, 1244.33, 6844
1003.87, 317.246, 283.709, 52
856.945, 571.727, 324.044, 302
819.441, 636.687, 1255.96, 6844
1021.92, 321.985, 287.662, 52
872.848, 580.182, 330.734, 302
835.071, 645.615, 1269.08, 6844
1040.83, 325.237, 292.874, 52
888.593, 588.912, 334.613, 302
850.667, 654.601, 1281.18, 6844
785.201, 767.992, 34.8873, 487
1060.55, 327.076, 299.46, 52
904.692, 597.027, 341.584, 302
866.337, 663.461, 1290.9, 6844
799.03, 780.04, 35.3053, 487
1078.61, 331.797, 303.142, 52
920.293, 606.006, 345.436, 302
882.121, 672.121, 1304.74, 6844
815.769, 787.046, 36.0205, 487
1098.39, 333.541, 309.555, 52
936.425, 614.064, 353.553, 302
897.823, 680.925, 1315, 6844
832.595, 793.903, 37.6509, 487
1116.94, 337.403, 314.012, 52
952.036, 623.026, 356.91, 302
913.466, 689.83, 1330.03, 6844
849.618, 800.419, 37.9544, 487
1136.16, 340.108, 319.42, 52
968.057, 631.275, 363.407, 302
929.401, 698.231, 1341.29, 6844
866.306, 807.515, 38.1649, 487
1155.86, 341.986, 324.975, 52
984.187, 639.337, 369.082, 302
945.181, 706.898, 1352.1, 6844
883.827, 813.166, 39.4239, 487
1174.97, 344.884, 329.504, 52
1000.16, 647.674, 374.943, 302
961.214, 715.129, 1365.04, 6844
900.65, 820.028, 40.5516, 487
285.319, 312.162, 638.409, 1002
290.937, 308.918, 614.31, 1002
278.866, 315.888, 693.564, 1002
272.725, 319.434, 739.842, 1002
232.008, 342.942, 4.09283, 487
186.165, 369.409, 91.4658, 481
158.449, 385.411, 873.411, 1487
153.483, 388.278, 441.987, 522
299.396, 317.891, 557.78, 1002
295.288, 320.263, 598.06, 1002
291.172, 322.64, 636.431, 1002
239.277, 352.601, 3.93589, 487
189.868, 381.128, 93.6358, 481
162.418, 396.976, 882.68, 1487
157.15, 400.017, 456.129, 522
305.98, 327.946, 556.41, 1002
298.607, 332.203, 560.824, 1002
247.599, 361.653, 4.62121, 487
194.183, 392.493, 97.8654, 481
165.623, 408.981, 892.607, 1487
160.882, 411.719, 466.974, 522
255.44, 370.982, 4.95422, 487
198.364, 403.935, 100.816, 481
167.589, 421.703, 907.241, 1487
163.882, 423.843, 480.1, 522
263.223, 380.345, 5.6632, 487
202.391, 415.467, 101.654, 481
171.426, 433.344, 915.024, 1487
167.733, 435.476, 492.888, 522
270.685, 389.893, 5.60412, 487
205.624, 427.456, 105.589, 481
174.042, 445.69, 928.134, 1487
169.904, 448.079, 510.69, 522
278.289, 399.36, 6.21894, 487
210.455, 438.523, 107.807, 481
177.117, 457.771, 940.064, 1487
174.001, 459.57, 517.316, 522
286.284, 408.6, 6.69915, 487
213.736, 450.485, 110.371, 481
180.104, 469.903, 951.523, 1487
176.441, 472.018, 535.768, 522
360.588, 379.557, 885.317, 6763
295.356, 417.219, 6.98197, 487
216.794, 462.577, 113.155, 481
183.412, 481.85, 962.77, 1487
179.782, 483.945, 547.021, 522
370.551, 387.661, 886.155, 6763
302.517, 426.941, 7.4036, 487
221.021, 473.993, 114.948, 481
186.59, 493.871, 973.971, 1487
182.728, 496.101, 557.732, 522
376.166, 398.276, 885.823, 6763
311.681, 435.506, 9.24253, 487
225.603, 485.203, 118.198, 481
189.63, 505.972, 987.981, 1487
185.794, 508.187, 572.68, 522
380.749, 409.486, 886.285, 6763
319.73, 444.715, 9.76722, 487
228.932, 497.138, 120.265, 481
193.761, 517.444, 996.026, 1487
188.464, 520.502, 587.904, 522
385.249, 420.744, 887.114, 6763
328.373, 453.582, 8.99362, 487
231.198, 509.686, 121.74, 481
195.844, 530.097, 1011.41, 1487
191.706, 532.487, 598.602, 522
388.532, 432.705, 887.418, 6763
336.954, 462.484, 10.5845, 487
235.631, 520.983, 125.552, 481
199.679, 541.74, 1020.01, 1487
194.777, 544.57, 610.891, 522
392.478, 444.284, 888.612, 6763
346.21, 470.997, 9.93221, 487
238.585, 533.134, 128.644, 481
202.923, 553.723, 1032.35, 1487
195.371, 558.084, 628.134, 522
396.334, 455.914, 889.163, 6763
354.875, 479.85, 10.7602, 487
242.132, 544.943, 130.799, 481
205.617, 566.024, 1044.47, 1487
199.709, 569.436, 636.975, 522
399.434, 467.98, 889.616, 6763
364.808, 487.972, 12.9796, 487
245.553, 556.824, 134.176, 481
208.998, 577.929, 1058.94, 1487
201.13, 582.471, 655.157, 522
402.505, 480.064, 889.599, 6763
372.758, 497.238, 12.0822, 487
248.459, 569.002, 134.519, 481
213.45, 589.215, 1064.5, 1487
204.388, 594.447, 665.682, 522
405.969, 491.92, 890.307, 6763
382.299, 505.586, 12.8766, 487
251.737, 580.966, 137.86, 481
216.455, 601.336, 1076.83, 1487
206.235, 607.237, 681.117, 522
408.681, 504.211, 891.277, 6763
389.945, 515.028, 13.1849, 487
255.05, 592.91, 141.176, 481
227.013, 609.097, 1061.11, 1487
219.446, 613.466, 1090.54, 1487
208.91, 619.549, 693.981, 522
411.133, 516.652, 891.529, 6763
400.586, 522.741, 14.0554, 487
257.163, 605.546, 145.501, 481
222.669, 625.461, 1103.1, 1487
211.266, 632.045, 706.279, 522
413.077, 529.386, 892.375, 6763
409.974, 531.177, 15.1705, 487
259.934, 617.803, 146.928, 481
239.305, 629.713, 1100.18, 1487
226.814, 636.925, 1111.71, 1487
213.672, 644.512, 718.723, 522
415.97, 541.572, 892.355, 6763
419.189, 539.713, 15.0767, 487
263.259, 629.739, 147.565, 481
249.732, 637.549, 1117.89, 1487
230.247, 648.799, 1122.64, 1487
214.779, 657.73, 737.177, 522
428.755, 548.047, 15.5401, 487
417.128, 554.76, 893.329, 6763
265.777, 642.142, 151.921, 481
254.796, 648.482, 1143.2, 1487
233.67, 660.679, 1135.78, 1487
217.75, 669.871, 745.452, 522
438.507, 556.273, 16.9781, 487
417.602, 568.343, 893.946, 6763
269.011, 654.131, 154.467, 481
261.444, 658.501, 1145.39, 1487
237.552, 672.294, 1146.24, 1487
220.153, 682.34, 761.349, 522
448.891, 564.134, 16.5304, 487
420.862, 580.317, 894.336, 6763
271.184, 666.733, 157.1, 481
241.17, 684.062, 1157.13, 1487
220.801, 695.822, 776.305, 522
458.561, 572.408, 17.5105, 487
420.412, 594.433, 895.059, 6763
272.797, 679.659, 160.429, 481
244.685, 695.889, 1169.87, 1487
222.802, 708.523, 788.199, 522
527.83, 549.735, 12.462, 487
471.421, 582.304, 18.2264, 487
422.456, 610.573, 895.424, 6763
276.329, 694.94, 163.217, 481
248.972, 710.734, 1184.62, 1487
227.241, 723.281, 801.317, 522
493.748, 590.197, 27.4871, 487
493.748, 590.197, 16.5157, 487
485.655, 594.87, 18.3939, 487
422.783, 631.169, 896.669, 6763
279.287, 714.017, 168.033, 481
254.053, 728.585, 1203.57, 1487
228.38, 743.408, 823.189, 522
502.724, 605.8, 19.7786, 487
422.691, 652.007, 897.421, 6763
282.975, 732.672, 171.094, 481
260.471, 745.665, 1217.66, 1487
229.931, 763.297, 848.032, 522
518.449, 617.506, 21.024, 487
421.438, 673.515, 898.27, 6763
287.024, 751.119, 173.238, 481
265.993, 763.261, 1236.19, 1487
232.525, 782.584, 866.817, 522
