# format: x, y, z, (trackId)+
413, -55.6048, 1154.56, 7712
413, -53.4755, 307.961, 506
413, 4.9995, 742.597, 6561
413, -35.3091, 1208.23, 5950
413, 6.41664, 513.498, 411
425, -54.0998, 316.576, 506
425, -41.3808, 1162.73, 7712
425, -28.9986, 1169.18, 7712
425, -34.4857, 1218.29, 5950
425, 7.43851, 529.492, 411
437, -57.5, 343.828, 506
437, -53.7542, 326.645, 506
437, -33.4918, 1229.31, 5950
437, -25.8742, 1172.1, 7712
437, -12.0401, 1182.43, 7712
437, 5.48125, 770.045, 6561
437, 8.64627, 542.883, 411
449, 14.5939, 793.84, 6561
449, -54.4394, 335.104, 506
449, -32.6127, 1239.08, 5950
449, 17.7528, 1194.69, 7712
449, 33.038, 1202.93, 7712
449, 57.4156, 1214.78, 7712
449, 73.8885, 1223.04, 7712
449, 82.3227, 1226.91, 7712
449, 98.7394, 1235.23, 7712
449, 9.59265, 558.316, 411
461, -54.9589, 343.113, 506
461, -31.4259, 1248.15, 5950
461, 10.6036, 576.611, 411
461, 14.5591, 809.059, 6561
473, -55.7782, 352.665, 506
473, -29.9277, 1261.24, 5950
473, 11.7576, 591.493, 411
473, 17.8594, 824.526, 6561
485, -55.4878, 360.45, 506
485, -29.064, 1272, 5950
485, 13.1056, 606.67, 411
485, 22.7586, 843.074, 6561
497, -55.0745, 369.014, 506
497, -27.7341, 1280.97, 5950
497, 14.0002, 617.319, 411
497, 29.0026, 860.984, 6561
509, -55.5757, 379.428, 506
509, -25.7222, 1293.83, 5950
509, 15.7129, 633.499, 411
509, 36.936, 883.383, 6561
521, -55.7642, 386.176, 506
521, -24.1292, 1306.67, 5950
521, 17.111, 652.056, 411
521, 41.4746, 894.41, 6561
533, -55.4188, 397.283, 506
533, -23.3933, 1310.65, 5950
533, 18.0559, 668.694, 411
533, 51.6563, 918.19, 6561
545, -55.0983, 403.701, 506
545, -21.0469, 1323.31, 5950
545, 19.2328, 679.042, 411
545, 62.2804, 941.929, 6561
557, -54.9556, 413.91, 506
557, -19.6875, 1333.33, 5950
557, 20.9829, 694.934, 411
557, 71.1871, 960.141, 6561
569, -54.6204, 426.309, 506
569, -17.4248, 1346.15, 5950
