413, -73.0982, 547.686, 18
413, -51.3107, 552.367, 625
413, -89.3687, 113.954, 608
413, -95.489, 5.39028, 1139
413, -66.0301, 408.152, 36
413, -60.0883, 510.837, 18
413, -43.0476, 518.42, 625
413, -59.7341, 77.4257, 563
413, -35.2361, 54.5898, 360
413, -11.7126, 88.7221, 1038
413, 0.355749, 304.977, 1005
413, 4.09581, 264.269, 523
413, 4.47387, 194.937, 1122
413, 29.1532, 339.078, 800
413, 46.4981, 1550.8, 1168
413, 45.6528, 17.2038, 113
413, 50.8133, 348.823, 1081
413, 67.8789, 583.967, 708
413, 68.3159, 191.885, 1328
413, 85.9819, 81.8282, 187
413, 95.0963, 71.5949, 187
413, 86.4525, 609.744, 182
413, 97.5, 183.139, 1056
425, -95.1323, 4.50875, 1139
425, -89.5558, 115.101, 608
425, -68.9715, 419.712, 36
425, -61.8255, 525.504, 18
425, -62.3241, 78.7963, 48
425, -54.4846, 578.608, 1165
425, -42.0169, 536.603, 625
425, -36.7144, 55.8754, 360
425, -10.7563, 91.5495, 1038
425, 4.04986, 310.253, 1005
425, 6.12416, 273.161, 523
425, 5.61042, 199.735, 1122
425, 29.1638, 346.174, 800
425, 39.754, 1539.23, 1168
425, 50.6733, 357.637, 1081
425, 47.34, 15.3384, 113
425, 67.809, 598.498, 708
425, 70.5284, 196.407, 1328
425, 89.3308, 627.901, 182
425, 91.6436, 83.5835, 187
425, 102.5, 189.836, 1056
437, -94.8483, 4.18263, 1139
437, -70.6152, 427.457, 36
437, -64.825, 80.9001, 48
437, -63.9296, 537.929, 18
437, -56.5832, 594.827, 1165
437, -42.6886, 551.85, 625
437, -37.8349, 56.5708, 360
437, -11.1247, 93.7963, 1038
437, 8.15059, 319.848, 1005
437, 8.2014, 281.197, 523
437, 7.77621, 204.223, 1122
437, 29.4405, 1525.68, 1168
437, 29.3132, 357.837, 800
437, 49.1716, 15.0799, 113
437, 49.8738, 369.358, 1081
437, 68.9532, 617.714, 708
437, 73.3409, 203.096, 1328
437, 91.5875, 649.185, 182
437, 99.651, 88.2533, 187
