# format: x, y, z, (trackId)+
413, -90.5206, 1470.16, 7793
413, -65.9095, 1095.52, 6013
413, -38.6402, 1295.66, 4911
413, 19.0678, 1088.08, 6015
425, -87.8766, 1476.94, 7793
425, -68.1009, 1117.12, 6013
425, -44.9422, 1295.91, 4911
425, 17.5004, 1102.76, 6015
437, -85.5106, 1483.87, 7793
437, -68.9828, 1122.41, 6013
437, -48.5045, 1295.26, 4911
437, 15.9482, 1118.96, 6015
449, -82.5092, 1490.18, 7793
449, -70.6615, 1138.73, 6013
449, -54.8315, 1294.37, 4911
449, 14.9999, 1131.02, 6015
461, -79.1464, 1497.68, 7793
461, -71.8062, 1154.58, 6013
461, -59.2767, 1294.74, 4911
461, 13.5925, 1143.65, 6015
473, -75.3867, 1504.68, 7793
473, -73.7785, 1168.95, 6013
473, -64.9448, 1294.22, 4911
473, 12.0907, 1158.32, 6015
485, -72.2039, 1510.54, 7793
485, -70.6915, 1293.35, 4911
485, -74.6863, 1184.7, 6013
485, 10.6187, 1170.26, 6015
497, -76.757, 1293.38, 4911
497, -76.0032, 1198.11, 6013
497, -68.4207, 1516.71, 7793
497, 9.12254, 1185.59, 6015
509, -83.3478, 1292.82, 4911
509, -76.8036, 1208.72, 6013
509, -64.2661, 1523.95, 7793
509, 7.39131, 1198.66, 6015
521, -89.8982, 1292.54, 4911
521, -78.0709, 1222.89, 6013
521, -59.8931, 1530.77, 7793
521, 5.26011, 1215.33, 6015
533, -94.5121, 1292.07, 4911
533, -79.8893, 1242.24, 6013
533, -55.3293, 1536.63, 7793
533, 3.7228, 1225.8, 6015
545, -101.759, 1291.81, 4911
545, -80.2432, 1250.17, 6013
545, -49.6676, 1545.29, 7793
545, 1.50331, 1241.4, 6015
557, -109.66, 1291, 4911
557, -81.4678, 1264.57, 6013
557, -45.3201, 1550.85, 7793
557, -0.352259, 1254.53, 6015
569, -115.761, 1290.93, 6013
569, -82.5036, 1280, 6013
569, -39.5634, 1558.56, 7793
569, -2.7379, 1269.02, 6015
581, -122.759, 1290.72, 4911
581, -82.5, 1293.22, 6013
581, -33.5515, 1565.43, 7793
581, -5.01377, 1284.11, 6015
593, -130.851, 1290.29, 4911
593, -82.5, 1305.07, 6013
593, -26.6141, 1573.44, 7793
593, -7.23619, 1297.91, 6015
605, -137.44, 1289.86, 4911
605, -85.6288, 1322.72, 6013
605, -21.5546, 1578.04, 7793
605, -9.89017, 1314.81, 6015
617, -146.236, 1289.8, 4911
617, -86.1561, 1338.62, 6013
617, -34.6968, 1318.38, 6015
617, -13.7239, 1586.78, 7793
629, -153.843, 1289.23, 4911
629, -86.6459, 1351.11, 6013
629, -15, 1338.84, 6015
629, -6.7197, 1594.06, 7793
641, -157.252, 1289.14, 4911
641, -86.642, 1360.59, 6013
641, -40.7908, 1352.47, 6015
641, 0.92557, 1601.6, 7793
653, -162.5, 1288.49, 4911
653, -87.9051, 1378.66, 6013
653, -33.3372, 1368.33, 6015
653, 8.45091, 1608.07, 7793
665, -58.1852, 1389.64, 6015
665, -22.4647, 1378.8, 6015
665, 18.539, 1617.33, 7793
677, -69.3406, 1407.04, 6015
677, -25.4195, 1394.49, 6015
677, 25.0352, 1623.66, 7793
689, -27.5, 1409.6, 6015
689, 36.7669, 1634.15, 7793
701, -90.0005, 1432.53, 6015
701, -32.039, 1423.23, 6015
701, 41.2291, 1636.97, 7793
713, -95, 1447.55, 6015
713, -35.1777, 1437.79, 6015
725, -90.7469, 1460.38, 6013
725, -37.5, 1453.43, 6015
725, 182.5, 264.724, 8102
740, -138.997, 1472.47, 6013
740, -54.998, 1468.25, 6015
740, 187.21, 256.5, 8102
758, -185.203, 1446.89, 8087
758, -95, 1498.69, 6015
758, -48.2039, 1491.14, 6015
758, 188.801, 249.438, 8102
776, -184.763, 1446.12, 8087
776, -91.5868, 1518.22, 6013
