# format: x, y, z, (trackId)+
413, -92.5, 591.204, 412
413, -85.1717, 582.754, 412
413, -68.2168, 98.6397, 492
413, -42.6163, 588.513, 750
413, -45.7569, 533.73, 721
413, -30.0536, 1558.06, 750
413, -26.8793, 654.884, 496
413, -20.2188, 224.54, 199
413, 5.47715, 862.746, 7445
413, 6.45645, 62.3042, 557
413, 13.8773, 180.107, 6416
413, 53.8125, 803.677, 215
425, -86.1952, 598.332, 412
425, -71.9399, 102.805, 492
425, -43.8, 532.187, 721
425, -32.4705, 613.305, 750
425, -28.7192, 673.689, 496
425, -19.8959, 1577.4, 750
425, -21.1229, 230.438, 199
425, 0.914011, 830.434, 7445
425, 6.17912, 62.7098, 557
425, 14.4295, 183.692, 6416
425, 53.9434, 832.532, 215
437, -85.2869, 619.992, 412
437, -73.9937, 105.309, 492
437, -40.3182, 529.907, 721
437, -30.6024, 691.809, 496
437, -19.8559, 637.953, 750
437, -22.1998, 238.636, 199
437, -1.18618, 1601.05, 750
437, -3.07026, 807.425, 7445
437, 4.70987, 64.6585, 557
437, 15.1664, 190.992, 6416
437, 47.5, 857.75, 215
437, 53.9045, 851.237, 215
449, -84.6675, 632.952, 412
449, -76.2845, 107.238, 492
449, -36.9083, 528.755, 721
449, -32.5534, 713.875, 496
449, -23.0551, 241.849, 199
449, -5.59037, 664.088, 750
449, -7.99581, 777.972, 7445
449, 3.76373, 66.7105, 557
449, 15.1527, 1620.91, 750
449, 26.1345, 1633.96, 750
449, 14.7434, 194.522, 6416
449, 53.7635, 873.904, 215
449, 101.523, 828.504, 750
461, -84.7777, 646.569, 412
461, -79.9683, 110.258, 492
461, -36.0995, 741.485, 496
461, -33.5392, 526.2, 721
461, -31.8103, 724.195, 496
461, -24.2129, 249.873, 199
461, -12.797, 751.417, 7445
461, 1.88797, 68.836, 557
461, 19.3734, 701.69, 750
461, 37.4331, 733.02, 750
461, 59.58, 764.925, 750
461, 78.4536, 794.901, 750
461, 89.9483, 814.568, 750
461, 14.2285, 200.555, 6416
461, 53.6519, 897.015, 215
473, -84.4645, 666.1, 412
473, -83.3234, 115.282, 492
473, -36.359, 748.365, 496
473, -29.1848, 524.601, 721
473, -25.4551, 256.43, 199
473, -17.5384, 730.652, 7445
473, 1.35513, 68.8185, 557
473, 14.6049, 206.733, 6416
473, 37.5, 732.191, 750
473, 42.5, 740.454, 750
473, 53.0354, 926.153, 215
473, 59.3235, 765.211, 750
485, -86.4911, 115.109, 492
485, -83.7326, 683.335, 412
485, -39.0384, 771.359, 496
485, -22.8728, 699.248, 7445
485, -23.8225, 522.509, 721
485, -27.127, 263.742, 199
485, 1.07187, 71.5444, 557
485, 14.6703, 211.063, 6416
485, 53.3142, 943.408, 215
497, -89.2807, 119.778, 492
497, -82.811, 701.026, 412
497, -40.6622, 785.959, 496
497, -29.1926, 670.229, 7445
497, -27.83, 269.809, 199
497, -19.8354, 521.031, 721
497, -1.84743, 73.9427, 557
497, 15.1753, 215.935, 6416
497, 52.3592, 965.422, 215
509, -91.4333, 122.571, 492
509, -81.6927, 711.868, 412
509, -43.2718, 810.664, 496
509, -35.8266, 638.246, 7445
509, -28.3166, 275.953, 199
509, -14.0529, 518.437, 721
509, -2.63634, 75.5786, 557
509, 14.8373, 220.258, 6416
509, 51.7263, 993.166, 215
521, -95.5387, 124.845, 492
521, -80.6637, 730.832, 412
521, -45.4614, 828.114, 496
521, -41.3482, 615.896, 7445
521, -30.0968, 282.96, 199
521, -7.96067, 516.744, 721
521, -4.37953, 76.779, 557
521, 15.0111, 226.042, 6416
521, 51.1339, 1014.21, 215
533, -98.7861, 129.417, 492
533, -79.8277, 747.123, 412
533, -48.0066, 586.384, 7445
533, -47.9957, 848.512, 496
533, -31.2664, 289.553, 199
533, -6.39962, 80.1378, 557
533, -0.995827, 513.999, 721
533, 14.7107, 231.442, 6416
533, 50.3717, 1033.18, 215
545, -102.15, 130.847, 492
545, -78.0218, 765.553, 412
545, -55.5312, 556.598, 7445
545, -50.6384, 867.935, 496
545, -32.4423, 294.941, 199
545, -7.44363, 80.3031, 557
545, 4.08027, 512.288, 721
545, 14.5999, 236.752, 6416
545, 49.7385, 1058.91, 215
557, -104.771, 133.315, 492
557, -76.8178, 778.666, 412
557, -65.8266, 518.499, 7445
557, -52.8082, 887.564, 496
557, -33.8084, 300.192, 199
557, -9.44536, 82.2909, 557
557, 10.6499, 510.62, 721
557, 14.6731, 241.841, 6416
557, 48.7957, 1083.64, 215
569, -107.684, 136.584, 492
569, -74.2755, 800.849, 412
569, -77.5, 788.609, 412
569, -69.8165, 504.482, 7445
569, -57.0396, 919.008, 496
569, -36.0221, 307.955, 199
569, -10.9131, 84.3086, 557
569, 14.7347, 248.21, 6416
569, 19.5164, 507.841, 721
569, 47.4816, 1110.05, 215
581, -111.004, 139.557, 492
581, -81.501, 461.267, 7445
581, -73.9678, 813.84, 412
581, -72.5, 487.304, 7445
581, -57.8873, 922.466, 496
581, -36.8321, 314.942, 199
581, -26.3994, 674.411, 2387
581, -10.4126, 674.715, 2387
581, -13.0764, 85.74, 557
581, 14.6864, 250.202, 6416
581, 27.2783, 505.456, 721
581, 46.2023, 1134.56, 215
581, 47.2825, 1116.03, 215
593, -147.5, 926.151, 2379
593, -115.417, 142.627, 492
593, -87.4622, 443.169, 7445
593, -71.9589, 831.665, 412
593, -58.3436, 675.638, 2387
593, -41.1532, 689.657, 2387
593, -11.7675, 692.912, 2387
593, 2.06361, 695.392, 2387
593, 20.7926, 695.963, 2387
593, -60.7449, 946.48, 496
593, -39.1356, 321.337, 199
593, -14.2792, 87.1091, 557
593, -4.88974, 676.485, 2387
593, 12.3299, 675.384, 2387
593, 14.213, 257.89, 6416
593, 36.4177, 503.01, 721
593, 45.3375, 1151.33, 215
593, 52.5, 1140.11, 215
605, -147.467, 926.604, 2379
605, -132.644, 939.263, 2379
605, -119.335, 955.824, 2379
605, -118.517, 146.113, 492
605, -99.3331, 401.538, 7445
605, -85.0177, 676.362, 2387
605, -75.5353, 697.85, 2387
605, -65.2536, 687.21, 2387
605, -43.4636, 687.226, 2387
605, -19.1332, 683.515, 2387
605, -5.23845, 683.098, 2387
605, 13.9758, 684.305, 2387
605, 30.2844, 686.803, 2387
605, -70.5382, 840.868, 412
605, -59.2027, 614.075, 2387
605, -33.6074, 614.663, 2387
605, -9.90016, 617.464, 2387
