# format: x, y, z, (trackId)+
413, -92.7787, 557.52, 51
413, -85.8186, 510.386, 51
413, -73.6295, 464.835, 4476
413, -61.0314, 1209.64, 436
413, -57.4274, 1198.74, 436
413, -52.5, 1175.15, 436
413, -21.1118, 1110.95, 768
413, -24.3569, 984.654, 397
413, 46.2011, 1227.51, 564
413, 52.5, 1211.33, 564
425, -102.5, 971.727, 4480
425, -97.2338, 581.17, 62
425, -89.5823, 529.601, 51
425, -77.0001, 458.85, 4476
425, -67.5, 1246.88, 436
425, -61.7116, 1213.6, 436
425, -43.1871, 1125, 768
425, -31.2491, 1116.24, 768
425, -28.6991, 1027.01, 397
425, -32.5, 1004.84, 397
425, -25.6709, 1007.98, 397
425, 45.5548, 1275.97, 564
425, 47.5, 1254.37, 564
425, 102.5, 240.349, 471
437, -99.5893, 589.188, 62
437, -90.8948, 535.456, 51
437, -73.4966, 1138.99, 768
437, -80.6066, 451.959, 4476
437, -68.7808, 1266.86, 436
437, -29.4812, 1043.02, 397
437, 42.5, 1305.87, 564
437, 46.1011, 1287.52, 564
437, 102.5, 247.204, 471
449, -102.814, 1152.2, 768
449, -107.5, 987.837, 4480
449, -102.336, 607.263, 62
449, -94.0056, 552.958, 51
449, -83.2755, 448.043, 4476
449, -73.4792, 1300.53, 436
449, -32.2007, 1074.45, 397
449, 44.7032, 1344.04, 564
449, 107.5, 251.985, 471
461, -112.5, 996.417, 4480
461, -105.791, 626.323, 62
461, -97.3957, 570.322, 51
461, -88.4918, 439.411, 4476
461, -79.6463, 1342.89, 436
461, -35.5165, 1109.06, 397
461, 43.7615, 1364.62, 564
461, 47.5, 1348.47, 564
461, 111.966, 256.63, 471
473, -112.5, 1130.99, 4616
473, -109.111, 638.567, 62
473, -99.2029, 582.738, 51
473, -90.3642, 435.861, 4476
473, -85.0933, 1377.66, 436
473, -38.0316, 1133.47, 397
473, 42.3646, 1426.68, 564
473, 43.4314, 1401.84, 564
473, 112.429, 265.9, 471
485, -117.259, 1127.72, 4616
485, -117.5, 1017.27, 4480
485, -112.983, 658.621, 62
485, -101.811, 598.189, 51
485, -94.9261, 428.802, 4476
485, -91.2651, 1416.35, 436
485, -41.5032, 1166.84, 397
485, 37.5, 1448.43, 564
485, 42.4994, 1431.93, 564
485, 116.127, 272.808, 471
497, -115.671, 1118.33, 4616
497, -117.5, 1021.46, 4480
497, -115.544, 670.973, 62
497, -104.814, 615.946, 51
497, -98.8516, 422.579, 4476
497, -97.0722, 1450.86, 436
497, -44.4187, 1187.62, 397
497, 41.188, 1480.42, 564
497, 116.539, 277.52, 471
509, -122.5, 1031.64, 4480
509, -119.336, 691.014, 62
509, -113.975, 1108.56, 4616
509, -107.596, 625.208, 51
509, -103.016, 415.77, 4476
509, -103.073, 1485.36, 436
509, -49.3128, 1231.03, 397
509, -46.6842, 1213.21, 397
509, 37.5, 1523.55, 564
509, 40.5211, 1507.62, 564
509, 120.853, 285.324, 471
521, -127.374, 1042.93, 4480
521, -122.434, 704.819, 62
521, -112.907, 1541.13, 436
521, -113.317, 1102.68, 4616
521, -110.56, 645.194, 51
521, -107.389, 408.81, 4476
521, -109.399, 1523.2, 436
521, -51.9008, 1252.9, 397
521, 38.1226, 1561.63, 564
521, 39.3577, 1536.53, 564
521, 121.361, 291.178, 471
521, 127.099, 1007.11, 875
533, -127.5, 1049.32, 4480
533, -125.959, 723.378, 62
533, -117.375, 1568.08, 436
533, -113.47, 1094.04, 4616
533, -114.082, 662.05, 51
533, -109.993, 404.904, 4476
533, -55.8495, 1283.9, 397
533, 36.8569, 1592.13, 564
533, 37.9412, 1572.34, 564
533, 123.31, 1003.12, 875
533, 122.682, 297.701, 471
545, -124.489, 1604.52, 436
545, -132.434, 1061.07, 4480
545, -130.058, 740.027, 62
545, -116.473, 673.677, 51
545, -114.701, 397.718, 4476
545, -114.413, 1087.65, 4616
545, -59.4716, 1310.13, 397
545, 32.5, 1631.26, 564
545, 36.7403, 1616.05, 564
545, 116.092, 999.113, 875
545, 124.431, 304.634, 471
545, 132.5, 432.392, 4569
557, -136.71, 1069.45, 4480
557, -132.801, 755.263, 62
557, -129.575, 1631.73, 436
557, -118.953, 391.505, 4476
557, -116.508, 1079.06, 4616
557, -119.194, 687.636, 51
557, -63.9489, 1344.27, 397
557, 34.7706, 1634.82, 564
557, 108.695, 993.366, 875
557, 125.986, 311.484, 471
557, 137.5, 428.441, 4569
569, -137.5, 1079.54, 4480
569, -136.35, 773.894, 62
569, -123.077, 385.339, 4476
569, -118.634, 1073.33, 4616
569, -122.05, 703.778, 51
569, -68.3096, 1378, 397
569, 103.027, 990.095, 875
569, 126.943, 318.031, 471
569, 137.5, 424.385, 4569
581, -141.576, 1088.05, 4480
581, -140.344, 794.943, 62
581, -127.11, 379.852, 4476
581, -124.948, 717.035, 51
581, -122.425, 1065.49, 4616
581, -72.0253, 1400.69, 397
581, 95.2407, 986.242, 875
581, 127.923, 326.532, 471
581, 142.262, 419.831, 4569
593, -144.331, 1096.97, 4480
593, -141.95, 798.153, 62
593, -131.666, 373.271, 4476
593, -126.178, 1059.11, 4616
593, -127.295, 733.875, 51
593, -77.3403, 1439.36, 397
593, 87.3438, 981.597, 875
593, 129.335, 330.25, 471
593, 145.763, 415.645, 4569
605, -146.295, 1104.59, 4480
605, -146.368, 827.009, 62
605, -135.907, 367.641, 4476
605, -131.591, 1050.63, 4616
605, -130.57, 750.198, 51
605, -80.2721, 1457.44, 397
605, 76.9784, 975.853, 875
605, 130.737, 337.605, 471
605, 146.434, 412.095, 4569
617, -148.525, 1113.56, 4480
617, -149.547, 830.12, 62
617, -137.157, 1042.83, 4616
617, -140.838, 360.494, 4476
617, -133.339, 761.202, 51
617, -86.187, 1496.78, 397
617, 69.6866, 971.518, 875
617, 131.081, 343.901, 471
617, 150.186, 1428.3, 4602
617, 148.449, 408.271, 4569
629, -151.16, 1123.09, 4480
629, -155.091, 856.452, 62
629, -144.164, 1033.75, 4616
629, -144.376, 355.605, 4476
629, -136.552, 780.213, 51
629, -91.9538, 1535.21, 397
629, 58.9819, 966.261, 875
629, 132.803, 354.371, 471
629, 142.495, 1428.06, 4602
629, 149.554, 404.013, 4569
641, -153.292, 1131.68, 4480
641, -152.534, 1023.89, 4616
641, -156.984, 871.056, 62
641, -149.451, 348.585, 4476
641, -138.998, 792.722, 51
641, -96.2473, 1558.94, 397
641, 48.6186, 961.282, 875
641, 133.741, 1427.72, 4602
641, 133.801, 358.27, 471
641, 150.04, 399.683, 4569
653, -160.082, 1015.97, 4616
653, -161.585, 887.149, 62
653, -153.332, 343.551, 4476
653, -155.127, 1140.66, 4480
653, -142.054, 809.581, 51
653, -102.06, 1595.91, 397
653, 39.4036, 956.907, 875
653, 124.917, 1427.27, 4602
653, 133.644, 360.374, 471
653, 151.043, 396.15, 4569
665, -156.836, 1147.69, 4480
665, -162.5, 1009.77, 4616
665, -162.5, 901.984, 62
665, -158.502, 336.843, 4476
665, -145.352, 826.097, 51
665, -107.518, 1628.98, 397
665, 27.126, 951.267, 875
665, 113.087, 1426.84, 4602
665, 135.468, 371.465, 4569
665, 151.655, 392.227, 4569
677, -167.247, 922.503, 62
677, -163.16, 330.455, 4476
677, -159.358, 1155.99, 4480
677, -148.302, 836.772, 51
677, -109.208, 1635.9, 397
677, 15.5018, 946.424, 875
677, 100.308, 1425.73, 4602
677, 135.689, 377.698, 471
677, 152.14, 388.344, 4569
689, -171.708, 933.762, 62
689, -169.16, 322.686, 4476
689, -161.177, 1166.45, 4480
689, -150.646, 853.461, 51
689, 4.68546, 940.614, 875
689, 85.479, 1424.42, 4602
689, 133.404, 384.886, 4569
689, 152.51, 384.466, 4569
701, -172.5, 948.737, 62
701, -170.612, 319.551, 4476
701, -163.496, 1176.6, 4480
701, -154.236, 869.167, 51
701, -10.8031, 934.133, 875
701, 76.9288, 1423.72, 4602
701, 136.734, 391.664, 4569
701, 153.074, 380.592, 4569
701, 142.5, 371.954, 4569
713, -177.5, 967.749, 62
713, -177.214, 312.216, 4476
713, -165.268, 1183.21, 4480
713, -156.96, 883.031, 51
713, -22.3998, 929.982, 875
713, 57.7061, 1422.86, 4602
713, 137.381, 396.75, 471
713, 153.118, 376.159, 4569
725, -182.5, 985.399, 62
725, -182.091, 305.452, 4476
725, -182.047, 131.625, 4617
725, -182.5, 56.7259, 4617
725, -182.5, 36.1792, 4617
725, -166.826, 1192.25, 4480
725, -159.948, 897.943, 51
725, -34.1808, 924.591, 875
725, 38.4546, 1422.29, 4602
725, 138.169, 405.732, 471
725, 153.872, 373.855, 4569
725, 182.5, 1073.21, 3
740, -187.409, 1008.25, 62
740, -186.711, 300.045, 4476
740, -181.927, 133.504, 4617
740, -183.171, 34.4865, 4617
740, -169.636, 1203.72, 4480
740, -128.44, 915.407, 875
740, -54.6638, 916.488, 875
740, 0.294113, 1420.2, 4602
740, 15.7586, 1421.57, 4602
740, 138.675, 410.71, 471
740, 153.397, 369.491, 4569
740, 187.5, 1095.5, 3
758, -192.729, 1415.65, 4602
758, -141.644, 1416.02, 4602
758, -84.1322, 1417.19, 4602
758, -73.2905, 1417.37, 4602
758, -50.2528, 1417.98, 4602
758, -28.6636, 1418.52, 4602
758, -17.8123, 1419.34, 4602
758, -192.5, 1031.09, 62
758, -191.821, 291.527, 4476
758, -179.466, 132.459, 4617
758, -181.148, 34.535, 4617
758, -172.265, 1217.85, 4480
758, -169.731, 945.516, 51
758, -166.466, 931.367, 51
758, -89.169, 903.854, 875
758, -78.1713, 907.829, 875
758, 139.358, 422.974, 471
758, 153.273, 363.197, 4569
758, 192.257, 1120.9, 3
776, -164.401, 1415.91, 4602
776, -143.683, 1416.24, 4602
776, -129.597, 1416.47, 4602
776, -107.324, 1416.92, 4602
776, -89.9379, 1417.22, 4602
776, -77.2582, 1417.34, 4602
776, -197.5, 1051.54, 62
776, -197.333, 282.585, 4476
776, -177.354, 131.202, 4617
776, -177.612, 33.8792, 4617
776, -174.769, 1228.17, 4480
776, -172.331, 958.878, 51
776, -116.992, 893.002, 875
776, -106.451, 897.351, 875
776, 139.419, 430.785, 471
776, 152.736, 357.619, 4569
